                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.4889,                 0.6542,                0.86419,                0.85581,                0.72554,                0.82895,                0.50661,                 1.4362,                0.62442,                0.86086,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.4631,                0.63992,                0.86579,                0.82645,                0.76116,                0.83383,                0.52052,                 1.4344,                0.62241,                 0.8562,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.4392,                 0.6202,                0.86266,                0.78627,                0.77821,                0.83567,                0.50529,                 1.4068,                0.61475,                0.85241,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.4683,                0.63321,                 0.8586,                0.78772,                 0.7951,                0.84088,                0.51647,                 1.4006,                0.61162,                0.85083,             0.00049529,             0.00049529,             0.00049529
                     69,                  1.453,                0.63247,                0.86267,                 0.7806,                0.77642,                0.82975,                0.52405,                 1.4032,                 0.6136,                0.85185,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.4592,                0.63355,                 0.8639,                0.83644,                0.75444,                0.84104,                0.51432,                 1.4331,                0.61327,                0.85426,               0.000467,               0.000467,               0.000467
                     71,                 1.4454,                0.62456,                0.86683,                0.83032,                0.77668,                0.84281,                0.52094,                 1.3898,                0.60845,                0.85061,             0.00045285,             0.00045285,             0.00045285
                     72,                 1.4456,                0.62484,                0.86466,                0.86725,                0.73822,                0.83744,                 0.5139,                 1.4132,                0.60991,                0.85351,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.4331,                0.61483,                0.85795,                0.77336,                0.75982,                0.82415,                0.51074,                 1.4027,                0.60695,                0.85111,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.4359,                0.62012,                0.85988,                 0.8397,                0.74913,                0.84061,                0.52642,                 1.3898,                0.59867,                0.85101,             0.00041041,             0.00041041,             0.00041041
                     75,                  1.431,                 0.6155,                0.85796,                0.82413,                0.76739,                0.84443,                0.51811,                 1.4124,                0.60432,                0.85461,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.4301,                0.61426,                0.85092,                0.84357,                0.75845,                0.85221,                0.53072,                 1.3807,                 0.5963,                0.85075,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.4231,                0.60917,                0.85966,                0.82581,                0.77804,                0.85173,                0.52745,                 1.3821,                0.59117,                0.85021,             0.00036797,             0.00036797,             0.00036797
                     78,                 1.4006,                0.60015,                0.85586,                0.85395,                0.76284,                 0.8533,                0.53791,                 1.3693,                0.58923,                0.84755,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.4097,                0.60676,                0.86095,                0.83383,                0.77572,                 0.8475,                0.53206,                 1.3827,                0.59663,                0.85115,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.4045,                0.60246,                 0.8624,                0.79144,                0.79016,                0.84138,                0.52874,                 1.3822,                0.60032,                0.84968,             0.00032553,             0.00032553,             0.00032553
                     81,                  1.395,                0.59797,                0.85481,                0.83922,                0.77599,                0.84855,                0.52786,                 1.3778,                 0.5911,                0.84614,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.4056,                0.60172,                0.85395,                0.79052,                0.79359,                0.84628,                0.53297,                  1.376,                0.58655,                0.84803,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.4192,                0.60648,                0.85466,                0.82493,                0.78123,                0.85791,                0.53684,                 1.3606,                0.58769,                0.84562,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.3957,                0.60229,                0.85445,                0.85846,                0.75377,                0.85758,                0.54279,                 1.3525,                0.58577,                  0.846,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.4067,                0.60032,                0.85253,                0.78262,                0.81789,                0.85853,                0.54934,                  1.354,                0.58984,                0.84396,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.3823,                0.58981,                0.85009,                0.84523,                0.78629,                0.85612,                0.53932,                 1.3806,                0.58492,                0.84691,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.3877,                0.58944,                0.85856,                0.82441,                0.79539,                0.85501,                0.53823,                  1.364,                0.58712,                0.84584,              0.0002265,              0.0002265,              0.0002265
                     88,                 1.3761,                0.58756,                0.84825,                0.78993,                0.81169,                0.85056,                0.53629,                 1.3743,                0.58793,                0.84755,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.3648,                0.58691,                0.85479,                0.83242,                0.77253,                 0.8546,                0.54085,                 1.3613,                0.58686,                0.84706,              0.0001982,              0.0001982,              0.0001982
                     90,                  1.355,                0.58144,                0.84823,                0.80163,                 0.7914,                0.85584,                0.54357,                 1.3626,                0.58175,                0.84605,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.3485,                0.58057,                0.85267,                0.84893,                0.75297,                0.84761,                0.52963,                 1.3706,                0.58696,                0.84571,             0.00016991,             0.00016991,             0.00016991
                     92,                 1.3298,                0.56766,                0.85299,                0.83973,                0.77172,                0.85463,                0.54213,                  1.357,                0.58173,                0.84439,             0.00015576,             0.00015576,             0.00015576
                     93,                  1.323,                0.56379,                0.84903,                0.85532,                 0.7786,                0.85365,                0.53741,                 1.3593,                0.57833,                0.84463,             0.00014161,             0.00014161,             0.00014161
                     94,                 1.3145,                0.56002,                0.85482,                0.82448,                0.78163,                 0.8489,                0.53853,                  1.359,                0.58386,                0.84347,             0.00012747,             0.00012747,             0.00012747
                     95,                 1.2948,                0.55172,                0.85155,                0.83029,                0.79419,                0.86328,                0.54993,                 1.3435,                0.57909,                0.84376,             0.00011332,             0.00011332,             0.00011332
                     96,                 1.3013,                0.55521,                0.85611,                0.84773,                0.78141,                0.85371,                0.54118,                 1.3604,                0.58242,                0.84411,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                 1.2996,                0.55167,                0.84911,                0.84823,                0.76618,                0.85973,                0.54766,                 1.3438,                0.57839,                0.84279,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                 1.2869,                0.55117,                0.85311,                0.81181,                0.80797,                0.85671,                0.54337,                  1.349,                 0.5778,                0.84391,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                 1.2913,                0.54718,                0.84807,                0.83927,                0.77227,                0.85939,                0.54922,                 1.3501,                0.58274,                0.84331,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 1.2888,                0.55131,                0.84845,                0.85449,                0.77345,                  0.864,                0.55117,                 1.3438,                0.57489,                0.84238,             4.2584e-05,             4.2584e-05,             4.2584e-05
